id	diakid	datum	lefekves	felkeles
134	12	2022.09.09	20:30:00	5:30:00
136	23	2022.09.01	20:24:00	6:15:00
137	16	2022.09.21	20:38:00	6:45:00
138	16	2022.09.30	20:35:00	6:45:00
143	17	2022.09.09	20:18:00	6:18:00
144	3	2022.09.19	20:13:00	7:10:00
145	23	2022.09.13	20:24:00	6:25:00
146	10	2022.09.20	21:28:00	7:00:00
148	7	2022.09.16	20:22:00	6:11:00
150	16	2022.09.07	20:50:00	6:45:00
151	1	2022.09.12	20:11:00	7:00:00
153	3	2022.09.22	20:16:00	7:10:00
155	18	2022.09.29	20:47:00	6:30:00
157	19	2022.09.13	20:24:00	6:45:00
158	8	2022.09.12	22:47:00	7:00:00
159	23	2022.09.26	20:32:00	6:15:00
161	14	2022.09.14	20:20:00	6:15:00
162	11	2022.09.05	22:30:00	6:00:00
163	5	2022.09.26	23:14:00	6:15:00
164	22	2022.09.22	23:04:00	6:30:00
166	8	2022.09.22	22:33:00	7:00:00
167	7	2022.09.15	20:11:00	6:00:00
168	19	2022.09.02	20:08:00	6:45:00
170	11	2022.09.06	22:40:00	6:00:00
171	17	2022.09.20	20:15:00	6:25:00
172	20	2022.09.21	21:10:00	6:50:00
173	5	2022.09.21	23:27:00	6:15:00
175	15	2022.09.27	21:19:00	7:00:00
176	8	2022.09.19	22:35:00	7:00:00
177	14	2022.09.27	20:20:00	6:15:00
178	13	2022.09.01	21:27:00	6:00:00
180	21	2022.09.06	21:48:00	7:20:00
181	17	2022.09.23	20:17:00	6:23:00
182	22	2022.09.26	23:03:00	6:37:00
184	6	2022.09.02	21:27:00	6:45:00
187	16	2022.09.12	20:43:00	6:45:00
190	17	2022.09.19	20:23:00	6:25:00
192	10	2022.09.30	21:28:00	7:00:00
196	6	2022.09.20	21:16:00	6:56:00
197	6	2022.09.13	21:28:00	6:45:00
198	22	2022.09.13	23:04:00	6:31:00
200	19	2022.09.08	20:25:00	6:45:00
201	9	2022.09.15	23:12:00	7:20:00
202	11	2022.09.15	22:24:00	6:00:00
203	6	2022.09.21	21:10:00	6:45:00
204	1	2022.09.16	20:07:00	7:00:00
207	4	2022.09.06	20:50:00	7:00:00
209	5	2022.09.15	23:28:00	6:15:00
210	20	2022.09.20	21:17:00	6:50:00
212	18	2022.09.07	20:46:00	6:30:00
213	3	2022.09.07	20:04:00	7:10:00
214	23	2022.09.21	20:25:00	6:15:00
215	7	2022.09.22	20:21:00	6:27:00
217	2	2022.09.19	21:32:00	7:15:00
219	10	2022.09.13	21:33:00	7:00:00
220	23	2022.09.23	20:30:00	6:15:00
222	20	2022.09.16	21:21:00	6:50:00
223	5	2022.09.22	23:20:00	6:15:00
224	11	2022.09.26	22:31:00	6:00:00
225	18	2022.09.15	20:48:00	6:30:00
226	14	2022.09.12	20:21:00	6:15:00
227	2	2022.09.26	21:43:00	7:15:00
228	18	2022.09.09	20:48:00	6:30:00
229	23	2022.09.07	20:32:00	6:31:00
230	18	2022.09.26	20:48:00	6:30:00
231	7	2022.09.09	20:05:00	6:00:00
232	19	2022.09.30	20:18:00	6:45:00
233	4	2022.09.09	20:50:00	7:00:00
234	3	2022.09.08	20:20:00	7:10:00
235	20	2022.09.05	21:28:00	6:50:00
236	10	2022.09.07	21:34:00	7:00:00
237	1	2022.09.08	20:00:00	7:00:00
238	2	2022.09.27	21:45:00	7:15:00
239	7	2022.09.14	20:14:00	6:00:00
241	1	2022.09.21	20:03:00	7:00:00
242	13	2022.09.07	21:34:00	6:00:00
244	7	2022.09.27	20:13:00	6:00:00
245	3	2022.09.01	20:04:00	7:10:00
246	11	2022.09.28	22:46:00	6:00:00
247	1	2022.09.09	20:07:00	7:01:00
248	5	2022.09.13	23:09:00	6:15:00
249	16	2022.09.06	20:44:00	6:45:00
251	15	2022.09.07	21:05:00	7:05:00
252	9	2022.09.26	23:12:00	7:15:00
253	22	2022.09.09	23:05:00	6:34:00
254	11	2022.09.30	22:35:00	6:00:00
256	11	2022.09.27	22:29:00	6:00:00
257	5	2022.09.23	23:17:00	6:52:00
258	16	2022.09.28	20:41:00	6:45:00
259	23	2022.09.05	20:25:00	6:15:00
260	1	2022.09.06	20:00:00	7:00:00
261	19	2022.09.20	20:10:00	6:45:00
263	10	2022.09.12	21:18:00	7:06:00
264	14	2022.09.28	20:15:00	6:15:00
265	15	2022.09.02	21:28:00	7:00:00
266	8	2022.09.30	22:47:00	7:00:00
267	1	2022.09.26	20:02:00	7:02:00
269	9	2022.09.08	23:11:00	7:15:00
270	18	2022.09.06	20:48:00	6:30:00
272	17	2022.09.22	20:17:00	6:15:00
273	6	2022.09.26	21:27:00	6:45:00
274	14	2022.09.22	20:18:00	6:15:00
275	23	2022.09.20	20:23:00	6:27:00
276	11	2022.09.13	22:33:00	6:00:00
277	17	2022.09.16	20:24:00	6:18:00
278	14	2022.09.01	20:18:00	6:15:00
279	19	2022.09.22	20:24:00	6:45:00
281	21	2022.09.19	21:34:00	7:20:00
282	16	2022.09.15	20:32:00	6:45:00
283	13	2022.09.15	21:31:00	6:00:00
284	19	2022.09.23	20:15:00	6:45:00
287	3	2022.09.30	20:15:00	7:10:00
288	21	2022.09.28	21:32:00	7:20:00
289	12	2022.09.02	20:31:00	5:30:00
290	15	2022.09.09	21:12:00	7:00:00
292	17	2022.09.02	20:24:00	6:22:00
293	18	2022.09.22	20:45:00	6:30:00
297	18	2022.09.14	20:50:00	6:30:00
298	5	2022.09.06	23:10:00	6:15:00
299	5	2022.09.28	23:33:00	6:15:00
301	12	2022.09.27	20:41:00	5:30:00
302	9	2022.09.19	23:01:00	7:15:00
305	9	2022.09.23	23:05:00	7:15:00
307	12	2022.09.20	20:31:00	5:30:00
308	23	2022.09.22	20:30:00	6:15:00
309	13	2022.09.28	21:15:00	6:00:00
310	15	2022.09.15	21:04:00	7:00:00
311	21	2022.09.30	21:41:00	7:20:00
312	18	2022.09.12	20:50:00	6:30:00
313	21	2022.09.14	21:31:00	7:20:00
316	13	2022.09.27	21:32:00	6:00:00
317	3	2022.09.26	20:02:00	7:10:00
318	4	2022.09.20	20:53:00	7:00:00
319	19	2022.09.15	20:25:00	6:45:00
320	5	2022.09.20	23:22:00	6:15:00
321	2	2022.09.06	21:31:00	7:15:00
322	4	2022.09.16	20:42:00	7:00:00
324	8	2022.09.15	22:39:00	7:00:00
325	18	2022.09.01	20:52:00	6:30:00
326	12	2022.09.22	20:33:00	5:30:00
327	7	2022.09.01	20:24:00	6:00:00
328	11	2022.09.22	22:33:00	6:00:00
329	21	2022.09.09	21:50:00	7:20:00
330	12	2022.09.23	20:31:00	5:30:00
331	23	2022.09.19	20:16:00	6:15:00
332	12	2022.09.15	20:37:00	5:30:00
335	14	2022.09.07	20:19:00	6:15:00
336	15	2022.09.29	21:09:00	7:00:00
337	4	2022.09.19	20:42:00	7:00:00
338	4	2022.09.02	20:45:00	7:00:00
339	9	2022.09.20	23:03:00	7:15:00
340	11	2022.09.12	22:41:00	6:00:00
342	18	2022.09.20	20:50:00	6:30:00
346	22	2022.09.05	23:07:00	6:30:00
348	4	2022.09.29	20:53:00	7:00:00
349	10	2022.09.01	21:33:00	7:00:00
350	8	2022.09.08	22:43:00	7:00:00
352	8	2022.09.01	22:42:00	7:00:00
353	17	2022.09.29	20:22:00	6:20:00
354	13	2022.09.13	21:27:00	6:00:00
355	12	2022.09.26	20:41:00	5:30:00
356	21	2022.09.21	21:46:00	7:20:00
357	7	2022.09.28	20:26:00	6:00:00
358	19	2022.09.28	20:15:00	6:45:00
360	22	2022.09.23	23:06:00	6:30:00
361	5	2022.09.19	23:14:00	6:15:00
362	3	2022.09.23	20:18:00	7:10:00
364	2	2022.09.13	21:46:00	7:15:00
365	20	2022.09.23	21:23:00	7:14:00
366	10	2022.09.27	21:43:00	7:00:00
367	17	2022.09.01	20:20:00	6:15:00
368	11	2022.09.08	22:25:00	6:00:00
370	9	2022.09.27	23:02:00	7:15:00
371	2	2022.09.02	21:32:00	7:15:00
372	7	2022.09.26	20:26:00	6:00:00
373	2	2022.09.20	21:42:00	7:15:00
374	3	2022.09.29	20:18:00	7:10:00
376	21	2022.09.23	21:46:00	7:20:00
378	16	2022.09.09	20:32:00	6:45:00
379	23	2022.09.27	20:31:00	6:15:00
381	20	2022.09.30	21:16:00	6:50:00
383	14	2022.09.23	20:16:00	6:15:00
384	8	2022.09.02	22:45:00	7:00:00
385	4	2022.09.14	20:30:00	7:00:00
386	23	2022.09.12	20:25:00	6:15:00
387	16	2022.09.05	20:52:00	6:45:00
388	18	2022.09.19	20:52:00	6:30:00
389	9	2022.09.05	23:08:00	7:15:00
390	15	2022.09.01	21:11:00	7:00:00
392	1	2022.09.07	20:11:00	7:01:00
393	15	2022.09.05	21:13:00	7:00:00
394	20	2022.09.27	21:25:00	6:50:00
396	13	2022.09.12	21:32:00	6:00:00
399	3	2022.09.28	20:03:00	7:10:00
401	7	2022.09.07	20:03:00	6:00:00
402	5	2022.09.16	23:31:00	6:15:00
403	11	2022.09.21	22:25:00	6:00:00
404	21	2022.09.02	21:37:00	7:20:00
407	16	2022.09.27	20:52:00	6:45:00
409	23	2022.09.28	20:17:00	6:15:00
410	11	2022.09.07	22:12:00	6:41:00
411	9	2022.09.12	23:01:00	7:15:00
412	16	2022.09.26	20:52:00	6:45:00
413	19	2022.09.06	20:24:00	6:45:00
414	20	2022.09.09	21:10:00	6:50:00
415	8	2022.09.14	22:42:00	7:00:00
416	8	2022.09.21	22:36:00	7:00:00
420	15	2022.09.23	21:10:00	7:00:00
421	8	2022.09.26	22:50:00	7:00:00
422	19	2022.09.21	20:27:00	7:13:00
423	8	2022.09.07	22:39:00	7:00:00
424	13	2022.09.20	21:29:00	6:00:00
425	12	2022.09.19	20:40:00	5:30:00
426	3	2022.09.13	20:09:00	7:10:00
427	21	2022.09.29	21:36:00	7:20:00
428	9	2022.09.01	23:03:00	7:26:00
429	13	2022.09.14	21:15:00	6:00:00
430	23	2022.09.09	20:27:00	6:15:00
431	11	2022.09.19	22:07:00	6:00:00
432	9	2022.09.02	23:01:00	7:15:00
434	2	2022.09.29	21:32:00	7:15:00
435	10	2022.09.09	21:26:00	7:00:00
436	2	2022.09.07	21:33:00	7:15:00
437	16	2022.09.29	20:38:00	6:45:00
438	23	2022.09.16	20:28:00	6:26:00
440	22	2022.09.16	23:00:00	6:30:00
442	10	2022.09.29	21:40:00	7:00:00
443	6	2022.09.06	21:24:00	6:45:00
445	21	2022.09.15	21:30:00	7:20:00
447	11	2022.09.29	22:11:00	6:00:00
448	15	2022.09.19	21:13:00	7:00:00
449	9	2022.09.09	23:06:00	7:15:00
450	22	2022.09.15	23:07:00	6:30:00
451	7	2022.09.30	20:05:00	6:00:00
452	21	2022.09.16	21:47:00	7:20:00
453	1	2022.09.13	20:11:00	7:01:00
454	11	2022.09.01	22:40:00	6:00:00
457	22	2022.09.20	23:09:00	6:30:00
458	1	2022.09.02	20:08:00	7:06:00
460	23	2022.09.14	20:20:00	6:15:00
462	4	2022.09.28	20:53:00	7:00:00
463	3	2022.09.20	20:15:00	7:10:00
464	20	2022.09.15	21:23:00	6:50:00
466	21	2022.09.27	21:40:00	7:20:00
467	1	2022.09.27	20:01:00	7:00:00
468	5	2022.09.08	23:50:00	6:15:00
469	20	2022.09.06	21:18:00	6:50:00
470	22	2022.09.01	23:04:00	6:35:00
471	13	2022.09.21	21:27:00	6:00:00
472	23	2022.09.06	20:33:00	6:15:00
474	16	2022.09.13	20:43:00	6:45:00
477	7	2022.09.05	20:26:00	6:00:00
479	5	2022.09.30	23:39:00	6:15:00
482	5	2022.09.29	23:45:00	6:15:00
483	6	2022.09.01	21:28:00	6:45:00
484	23	2022.09.08	20:33:00	6:15:00
485	21	2022.09.26	21:34:00	7:20:00
486	16	2022.09.20	20:36:00	6:45:00
487	15	2022.09.22	21:03:00	7:00:00
489	11	2022.09.09	22:15:00	6:00:00
490	14	2022.09.13	20:21:00	6:15:00
491	21	2022.09.12	21:42:00	7:20:00
492	5	2022.09.05	23:40:00	6:15:00
496	14	2022.09.19	20:17:00	6:15:00
497	10	2022.09.06	21:44:00	7:00:00
498	10	2022.09.22	21:41:00	7:00:00
500	3	2022.09.12	20:17:00	7:10:00
501	13	2022.09.29	21:26:00	6:00:00
502	5	2022.09.01	23:33:00	6:15:00
503	8	2022.09.27	22:32:00	7:00:00
504	22	2022.09.07	23:07:00	6:30:00
505	7	2022.09.23	20:22:00	6:00:00
508	9	2022.09.21	23:05:00	7:15:00
510	3	2022.09.27	20:01:00	7:10:00
511	6	2022.09.28	21:29:00	6:45:00
512	21	2022.09.20	21:48:00	7:20:00
513	4	2022.09.15	20:41:00	7:00:00
514	12	2022.09.08	20:38:00	5:30:00
515	14	2022.09.08	20:18:00	6:15:00
516	1	2022.09.20	20:04:00	7:00:00
517	1	2022.09.30	20:07:00	7:00:00
518	21	2022.09.05	21:44:00	7:20:00
520	12	2022.09.14	20:41:00	5:30:00
521	21	2022.09.07	21:44:00	7:20:00
522	15	2022.09.13	21:03:00	7:00:00
523	15	2022.09.16	21:02:00	7:27:00
524	18	2022.09.30	20:52:00	6:30:00
525	15	2022.09.08	21:25:00	7:24:00
526	22	2022.09.02	23:05:00	6:30:00
527	12	2022.09.30	20:38:00	5:30:00
528	5	2022.09.27	23:35:00	6:15:00
529	22	2022.09.06	23:06:00	6:30:00
532	14	2022.09.16	20:17:00	6:15:00
533	14	2022.09.26	20:21:00	6:15:00
534	4	2022.09.05	20:45:00	7:00:00
537	17	2022.09.26	20:20:00	6:22:00
539	20	2022.09.01	21:29:00	6:50:00
540	6	2022.09.08	21:12:00	6:45:00
542	13	2022.09.02	21:22:00	6:00:00
544	10	2022.09.28	21:21:00	7:00:00
546	13	2022.09.05	21:15:00	6:00:00
547	9	2022.09.29	23:06:00	7:15:00
548	17	2022.09.14	20:23:00	6:15:00
550	22	2022.09.12	23:09:00	6:30:00
552	19	2022.09.05	20:03:00	6:45:00
553	4	2022.09.12	20:50:00	7:00:00
554	20	2022.09.19	21:15:00	6:50:00
556	17	2022.09.07	20:20:00	6:23:00
557	3	2022.09.02	20:01:00	7:10:00
558	6	2022.09.14	21:11:00	6:45:00
562	13	2022.09.09	21:29:00	6:00:00
563	23	2022.09.15	20:28:00	6:15:00
564	14	2022.09.05	20:17:00	6:15:00
565	12	2022.09.06	20:45:00	5:30:00
567	4	2022.09.01	20:41:00	7:00:00
568	11	2022.09.14	22:38:00	6:00:00
569	9	2022.09.14	23:02:00	7:15:00
570	18	2022.09.27	20:51:00	6:30:00
571	15	2022.09.20	21:25:00	7:00:00
573	14	2022.09.29	20:20:00	6:15:00
574	11	2022.09.20	22:46:00	6:00:00
575	22	2022.09.29	23:06:00	6:30:00
578	17	2022.09.21	20:23:00	6:15:00
579	15	2022.09.26	21:03:00	7:00:00
580	6	2022.09.07	21:27:00	6:52:00
581	2	2022.09.15	21:49:00	7:15:00
582	2	2022.09.05	21:42:00	7:15:00
583	5	2022.09.12	23:33:00	6:15:00
584	6	2022.09.12	21:24:00	6:45:00
585	6	2022.09.27	21:26:00	6:45:00
587	20	2022.09.26	21:21:00	6:50:00
588	10	2022.09.19	21:20:00	7:00:00
589	15	2022.09.12	21:18:00	7:00:00
591	20	2022.09.29	21:12:00	6:50:00
592	19	2022.09.09	20:20:00	6:45:00
593	6	2022.09.16	21:32:00	6:45:00
594	13	2022.09.16	21:30:00	6:00:00
595	11	2022.09.16	22:24:00	6:00:00
596	3	2022.09.09	20:08:00	7:10:00
597	10	2022.09.02	21:29:00	7:18:00
598	20	2022.09.12	21:15:00	6:50:00
600	14	2022.09.30	20:18:00	6:15:00
601	4	2022.09.13	21:01:00	7:12:00
602	7	2022.09.02	20:23:00	6:00:00
605	18	2022.09.23	20:50:00	6:30:00
606	19	2022.09.07	20:07:00	6:45:00
607	4	2022.09.27	20:40:00	7:00:00
608	9	2022.09.07	23:06:00	7:15:00
609	9	2022.09.22	23:07:00	7:15:00
610	19	2022.09.29	20:39:00	6:45:00
612	3	2022.09.14	20:04:00	7:10:00
614	7	2022.09.29	20:08:00	6:00:00
615	22	2022.09.08	23:10:00	6:30:00
616	17	2022.09.08	20:24:00	6:15:00
617	8	2022.09.16	22:31:00	7:00:00
618	9	2022.09.13	23:11:00	7:15:00
620	2	2022.09.08	21:42:00	7:36:00
621	16	2022.09.19	20:35:00	6:45:00
622	10	2022.09.14	21:37:00	7:00:00
623	23	2022.09.30	20:22:00	6:15:00
624	6	2022.09.19	21:18:00	6:45:00
626	3	2022.09.15	20:12:00	7:10:00
628	16	2022.09.01	20:39:00	6:45:00
629	10	2022.09.21	21:42:00	7:00:00
630	12	2022.09.05	20:39:00	5:30:00
631	15	2022.09.28	21:13:00	7:21:00
632	13	2022.09.06	21:21:00	6:00:00
634	8	2022.09.28	22:31:00	7:12:00
635	19	2022.09.12	20:22:00	6:45:00
636	1	2022.09.01	20:08:00	7:00:00
637	17	2022.09.30	20:15:00	6:24:00
639	8	2022.09.29	22:45:00	7:00:00
642	8	2022.09.23	22:43:00	7:00:00
643	20	2022.09.02	21:23:00	6:50:00
644	10	2022.09.15	21:24:00	7:00:00
645	9	2022.09.06	23:10:00	7:15:00
647	18	2022.09.21	20:48:00	6:30:00
648	9	2022.09.30	23:12:00	7:15:00
649	1	2022.09.05	20:01:00	7:00:00
650	19	2022.09.26	20:35:00	6:45:00
651	22	2022.09.21	23:03:00	6:30:00
652	13	2022.09.08	21:25:00	6:00:00
653	4	2022.09.26	20:36:00	7:00:00
654	20	2022.09.28	21:06:00	6:50:00
656	19	2022.09.16	20:05:00	6:45:00
657	23	2022.09.02	20:17:00	6:15:00
659	17	2022.09.05	20:18:00	6:15:00
660	1	2022.09.29	20:05:00	7:11:00
661	12	2022.09.01	20:43:00	5:41:00
662	21	2022.09.08	21:30:00	7:20:00
664	23	2022.09.29	20:19:00	6:15:00
665	19	2022.09.14	20:37:00	7:12:00
667	13	2022.09.30	21:33:00	6:04:00
670	6	2022.09.23	21:10:00	6:45:00
672	12	2022.09.29	20:30:00	5:30:00
673	8	2022.09.06	22:38:00	7:00:00
674	8	2022.09.09	22:34:00	7:00:00
676	4	2022.09.23	20:48:00	7:00:00
677	3	2022.09.06	20:12:00	7:10:00
678	4	2022.09.07	20:59:00	7:00:00
679	16	2022.09.23	20:40:00	6:45:00
680	9	2022.09.28	23:10:00	7:15:00
681	8	2022.09.05	22:38:00	7:11:00
682	19	2022.09.27	20:36:00	6:45:00
683	15	2022.09.14	21:04:00	7:00:00
684	2	2022.09.16	21:43:00	7:15:00
685	17	2022.09.12	20:16:00	6:15:00
686	5	2022.09.14	23:45:00	6:15:00
687	19	2022.09.01	20:29:00	6:45:00
688	11	2022.09.02	22:19:00	6:00:00
689	21	2022.09.01	21:43:00	7:34:00
690	16	2022.09.22	20:30:00	6:45:00
